Orden,Fecha,Mes,Trimestre,Año,Cliente,Destino,Estado,Condicion,Envio,Categoria,Producto,Variedad,SKU,ASIN,Cantidad,Precio,Moneda
ID1,1/1/2022,1,Q1,2022,Cliente1089,Calle desconocida 5428,Montana,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID2,1/1/2022,1,Q1,2022,Cliente2960,Calle desconocida 5873,Oregon,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID3,1/1/2022,1,Q1,2022,Cliente5243,Calle desconocida 2055,North Dakota,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID4,1/1/2022,1,Q1,2022,Cliente6444,Calle desconocida 2049,Kansas,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID5,1/1/2022,1,Q1,2022,Cliente7678,Calle desconocida 2830,New York,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID10,2/1/2022,1,Q1,2022,Cliente587,Calle desconocida 5034,Maine,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID6,2/1/2022,1,Q1,2022,Cliente2567,Calle desconocida 9505,Oklahoma,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID7,2/1/2022,1,Q1,2022,Cliente6692,Calle desconocida 746,Wisconsin,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID8,2/1/2022,1,Q1,2022,Cliente4364,Calle desconocida 7329,Washington,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID9,2/1/2022,1,Q1,2022,Cliente9764,Calle desconocida 2229,Missouri,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID11,3/1/2022,1,Q1,2022,Cliente6798,Calle desconocida 965,Rhode Island,Enviada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,1,98.5,USD
ID12,4/1/2022,1,Q1,2022,Cliente7615,Calle desconocida 8639,Washington,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,
ID13,4/1/2022,1,Q1,2022,Cliente489,Calle desconocida 6375,Oregon,Enviada,Amazon,S,B,Marfil,S-B-BASIC-MARF,B09A5884LT,1,79.9,USD
ID14,5/1/2022,1,Q1,2022,Cliente5758,Calle desconocida 8181,Washington,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID15,6/1/2022,1,Q1,2022,Cliente3560,Calle desconocida 5282,Delaware,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID16,7/1/2022,1,Q1,2022,Cliente255,Calle desconocida 6801,Iowa,Enviada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID17,7/1/2022,1,Q1,2022,Cliente3493,Calle desconocida 3865,Oregon,Cancelada,Amazon,S,A,Marfil,S-A-BASIC-MARF,B000JK3R81,1,98.5,USD
ID18,7/1/2022,1,Q1,2022,Cliente9068,Calle desconocida 5114,South Carolina,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
ID19,7/1/2022,1,Q1,2022,Cliente117,Calle desconocida 8855,New York,Cancelada,Amazon,S,A,Gris,S-A-BASIC-GRIS,B000JKJL9V,0,0,
